text_index,type,text_type,line_id,text
an2.32-41,dhamma,"[1, 3, 1, 3]","['an2.39:1.6', 'an2.39:1.6', 'an2.41:1.1', 'an2.41:1.1']","['Tayidaṁ, bhikkhave, hoti bahujanāhitāya bahujanāsukhāya, bahuno janassa anatthāya ahitāya dukkhāya devamanussānaṁ. ', 'This is for the hurt and unhappiness of the people, for the harm, hurt, and suffering of many people, of gods and humans. ', '“Ye te, bhikkhave, bhikkhū duggahitehi suttantehi byañjanappatirūpakehi atthañca dhammañca paṭibāhanti te, bhikkhave, bhikkhū bahujanāhitāya paṭipannā bahujanāsukhāya, bahuno janassa anatthāya ahitāya dukkhāya devamanussānaṁ. ', '“Mendicants, by memorizing the discourses incorrectly, taking only a semblance of the phrasing, some mendicants shut out the meaning and the teaching. They act for the hurt and unhappiness of the people, for the harm, hurt, and suffering of many people, of gods and humans. ']"
an2.42-51,dhamma,"[1, 3, 1, 3]","['an2.45:1.5', 'an2.45:1.5', 'an2.45:2.2', 'an2.45:2.2']","['Idha, bhikkhave, yassaṁ parisāyaṁ bhikkhū ‘idaṁ dukkhan’ti yathābhūtaṁ nappajānanti, ‘ayaṁ dukkhasamudayo’ti yathābhūtaṁ nappajānanti, ‘ayaṁ dukkhanirodho’ti yathābhūtaṁ nappajānanti, ‘ayaṁ dukkhanirodhagāminī paṭipadā’ti yathābhūtaṁ nappajānanti. ', 'An assembly where the mendicants don’t truly understand: ‘This is suffering’ … ‘This is the origin of suffering’ … ‘This is the cessation of suffering’ … ‘This is the practice that leads to the cessation of suffering’. ', 'Idha, bhikkhave, yassaṁ parisāyaṁ bhikkhū ‘idaṁ dukkhan’ti yathābhūtaṁ pajānanti, ‘ayaṁ dukkhasamudayo’ti yathābhūtaṁ pajānanti, ‘ayaṁ dukkhanirodho’ti yathābhūtaṁ pajānanti, ‘ayaṁ dukkhanirodhagāminī paṭipadā’ti yathābhūtaṁ pajānanti. ', 'An assembly where the mendicants truly understand: ‘This is suffering’ … ‘This is the origin of suffering’ … ‘This is the cessation of suffering’ … ‘This is the practice that leads to the cessation of suffering’. ']"
an3.100,dhamma,"[1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3]","['an3.100:1.2', 'an3.100:1.2', 'an3.100:1.4', 'an3.100:1.4', 'an3.100:2.2', 'an3.100:2.2', 'an3.100:6.2', 'an3.100:6.2', 'an3.100:11.2', 'an3.100:11.2', 'an3.100:16.2', 'an3.100:16.2', 'an3.100:18.2', 'an3.100:18.2', 'an3.100:18.4', 'an3.100:18.4']","['‘yathā yathāyaṁ puriso kammaṁ karoti tathā tathā taṁ paṭisaṁvediyatī’ti, evaṁ santaṁ, bhikkhave, brahmacariyavāso na hoti, okāso na paññāyati sammā dukkhassa antakiriyāya. ', '‘No matter how this person performs a deed, they experience it the same way.’ This being so, the spiritual life could not be lived, and there’d be no chance of making a complete end of suffering. ', '‘yathā yathā vedanīyaṁ ayaṁ puriso kammaṁ karoti tathā tathāssa vipākaṁ paṭisaṁvediyatī’ti, evaṁ santaṁ, bhikkhave, brahmacariyavāso hoti, okāso paññāyati sammā dukkhassa antakiriyāya. ', '‘No matter how this person performs a deed, they experience the result as it should be experienced.’ This being so, the spiritual life can be lived, and there is a chance of making a complete end of suffering. ', 'Idha pana, bhikkhave, ekacco puggalo abhāvitakāyo hoti abhāvitasīlo abhāvitacitto abhāvitapañño paritto appātumo appadukkhavihārī. ', 'A person who hasn’t developed their physical endurance, ethics, mind, or wisdom. They’re small-minded and mean-spirited, living in suffering. ', 'Idha, bhikkhave, ekacco puggalo abhāvitakāyo hoti abhāvitasīlo abhāvitacitto abhāvitapañño paritto appātumo appadukkhavihārī. ', nan, 'Idha, bhikkhave, ekacco puggalo abhāvitakāyo hoti abhāvitasīlo abhāvitacitto abhāvitapañño paritto appātumo appadukkhavihārī. ', nan, 'Idha, bhikkhave, ekacco puggalo abhāvitakāyo hoti abhāvitasīlo abhāvitacitto abhāvitapañño paritto appātumo appadukkhavihārī. ', nan, '‘yathā yathāyaṁ puriso kammaṁ karoti tathā tathā taṁ paṭisaṁvedetī’ti, evaṁ santaṁ, bhikkhave, brahmacariyavāso na hoti, okāso na paññāyati sammā dukkhassa antakiriyāya. ', '‘No matter how this person performs a deed, they experience it the same way.’ This being so, the spiritual life could not be lived, and there’d be no chance of making a complete end of suffering. ', '‘yathā yathā vedanīyaṁ ayaṁ puriso kammaṁ karoti tathā tathā tassa vipākaṁ paṭisaṁvedetī’ti, evaṁ santaṁ, bhikkhave, brahmacariyavāso hoti, okāso paññāyati sammā dukkhassa antakiriyāyā”ti. ', '‘No matter how this person performs a deed, they experience the result as it should be experienced.’ This being so, the spiritual life can be lived, and there is a chance of making a complete end of suffering.”']"
an3.101,dhamma,"[1, 3]","['an3.101:6.1', 'an3.101:6.1']","['So sace ākaṅkhati: ‘anekavihitaṁ pubbenivāsaṁ anussareyyaṁ, seyyathidaṁ—ekampi jātiṁ dvepi jātiyo tissopi jātiyo catassopi jātiyo pañcapi jātiyo dasapi jātiyo vīsampi jātiyo tiṁsampi jātiyo cattālīsampi jātiyo paññāsampi jātiyo jātisatampi jātisahassampi jātisatasahassampi anekepi saṁvaṭṭakappe anekepi vivaṭṭakappe anekepi saṁvaṭṭavivaṭṭakappe: “amutrāsiṁ evaṁnāmo evaṅgotto evaṁvaṇṇo evamāhāro evaṁsukhadukkhappaṭisaṁvedī evamāyupariyanto, so tato cuto amutra udapādiṁ; tatrāpāsiṁ evaṁnāmo evaṅgotto evaṁvaṇṇo evamāhāro evaṁsukhadukkhappaṭisaṁvedī evamāyupariyanto, so tato cuto idhūpapanno”ti, iti sākāraṁ sauddesaṁ anekavihitaṁ pubbenivāsaṁ anussareyyan’ti, ', 'If they wish: ‘May I recollect many kinds of past lives. That is: one, two, three, four, five, ten, twenty, thirty, forty, fifty, a hundred, a thousand, a hundred thousand rebirths; many eons of the world contracting, many eons of the world expanding, many eons of the world contracting and expanding. May I remember: “There, I was named this, my clan was that, I looked like this, and that was my food. This was how I felt pleasure and pain, and that was how my life ended. When I passed away from that place I was reborn somewhere else. There, too, I was named this, my clan was that, I looked like this, and that was my food. This was how I felt pleasure and pain, and that was how my life ended. When I passed away from that place I was reborn here.” May I recollect my many past lives, with features and details.’ ']"
an3.103,dhamma,"[1, 3]","['an3.103:1.5', 'an3.103:1.5']","['Yaṁ loko anicco dukkho vipariṇāmadhammo, ayaṁ loke ādīnavo. ', 'That the world is impermanent, suffering, and perishable: this is its drawback. ']"
an3.11,dhamma,"[1, 3, 1, 3]","['an3.11:1.1', 'an3.11:1.1', 'an3.11:1.4', 'an3.11:1.4']","['“Tīhi, bhikkhave, dhammehi samannāgato ñāto bhikkhu bahujanaahitāya paṭipanno hoti bahujanadukkhāya, bahuno janassa anatthāya ahitāya dukkhāya devamanussānaṁ. ', '“Mendicants, a well-known mendicant who has three qualities is acting for the hurt and unhappiness of the people, for the harm, hurt, and suffering of gods and humans. ', 'Imehi kho, bhikkhave, tīhi dhammehi samannāgato ñāto bhikkhu bahujanaahitāya paṭipanno hoti bahujanadukkhāya, bahuno janassa anatthāya ahitāya dukkhāya devamanussānaṁ. ', 'A well-known mendicant who has these three qualities is acting for the hurt and unhappiness of the people, for the harm, hurt, and suffering of gods and humans. ']"
an3.111,dhamma,"[1, 3, 1, 3, 1, 3]","['an3.111:1.4', 'an3.111:1.4', 'an3.111:1.5', 'an3.111:1.5', 'an3.111:1.6', 'an3.111:1.6']","['Yaṁ, bhikkhave, lobhapakataṁ kammaṁ lobhajaṁ lobhanidānaṁ lobhasamudayaṁ, taṁ kammaṁ akusalaṁ taṁ kammaṁ sāvajjaṁ taṁ kammaṁ dukkhavipākaṁ, taṁ kammaṁ kammasamudayāya saṁvattati, na taṁ kammaṁ kammanirodhāya saṁvattati. ', 'Any deed that emerges from greed, hate, or delusion—born, sourced, and originated from greed, hate, or delusion—is unskillful, blameworthy, results in suffering, and leads to the creation of more deeds, not their cessation. ', 'Yaṁ, bhikkhave, dosapakataṁ kammaṁ dosajaṁ dosanidānaṁ dosasamudayaṁ, taṁ kammaṁ akusalaṁ taṁ kammaṁ sāvajjaṁ taṁ kammaṁ dukkhavipākaṁ, taṁ kammaṁ kammasamudayāya saṁvattati, na taṁ kammaṁ kammanirodhāya saṁvattati. ', nan, 'Yaṁ, bhikkhave, mohapakataṁ kammaṁ mohajaṁ mohanidānaṁ mohasamudayaṁ, taṁ kammaṁ akusalaṁ taṁ kammaṁ sāvajjaṁ taṁ kammaṁ dukkhavipākaṁ, taṁ kammaṁ kammasamudayāya saṁvattati, na taṁ kammaṁ kammanirodhāya saṁvattati. ', nan]"
an3.12,dhamma,"[1, 3]","['an3.12:5.1', 'an3.12:5.1']","['Puna caparaṁ, bhikkhave, yasmiṁ padese bhikkhu ‘idaṁ dukkhan’ti yathābhūtaṁ pajānāti, ‘ayaṁ dukkhasamudayo’ti yathābhūtaṁ pajānāti, ‘ayaṁ dukkhanirodho’ti yathābhūtaṁ pajānāti, ‘ayaṁ dukkhanirodhagāminī paṭipadā’ti yathābhūtaṁ pajānāti. ', 'The place where the mendicant truly understands: ‘This is suffering’ … ‘This is the origin of suffering’ … ‘This is the cessation of suffering’ … ‘This is the practice that leads to the cessation of suffering’. ']"
an3.133,dhamma,"[1, 3]","['an3.133:3.2', 'an3.133:3.2']","['Idha, bhikkhave, bhikkhu ‘idaṁ dukkhan’ti yathābhūtaṁ pajānāti; ‘ayaṁ dukkhasamudayo’ti yathābhūtaṁ pajānāti; ‘ayaṁ dukkhanirodho’ti yathābhūtaṁ pajānāti; ‘ayaṁ dukkhanirodhagāminī paṭipadā’ti yathābhūtaṁ pajānāti. ', 'It’s when a mendicant truly understands: ‘This is suffering’ … ‘This is the origin of suffering’ … ‘This is the cessation of suffering’ … ‘This is the practice that leads to the cessation of suffering’. ']"
an3.135,dhamma,"[1, 3]","['an3.135:1.3', 'an3.135:1.3']","['Duddadaṁ dadāti, dukkaraṁ karoti, dukkhamaṁ khamati—', 'They give what is hard to give, they do what is hard to do, and they bear what is hard to bear. ']"
an3.136,dhamma,"[1, 3, 1, 3]","['an3.136:1.7', 'an3.136:1.7', 'an3.136:1.10', 'an3.136:1.10']","['Sabbe saṅkhārā dukkhā. ', 'all conditions are suffering. ', '‘sabbe saṅkhārā dukkhā’ti. ', '‘All conditions are suffering.’ ']"
an3.137,dhamma,"[1, 3, 1, 3, 1, 3]","['an3.137:1.2', 'an3.137:1.2', 'an3.137:3.1', 'an3.137:3.1', 'an3.137:3.2', 'an3.137:3.2']","['Kesakambalo, bhikkhave, sīte sīto, uṇhe uṇho, dubbaṇṇo, duggandho, dukkhasamphasso. ', 'It’s cold in the cold, hot in the heat, ugly, smelly, and unpleasant to touch. ', 'Seyyathāpi, bhikkhave, nadīmukhe khippaṁ uḍḍeyya bahūnaṁ macchānaṁ ahitāya dukkhāya anayāya byasanāya; ', 'It’s like a trap set at the mouth of a river, which would bring harm, suffering, calamity, and disaster for many fish. ', 'evamevaṁ kho, bhikkhave, makkhali moghapuriso manussakhippaṁ maññe loke uppanno bahūnaṁ sattānaṁ ahitāya dukkhāya anayāya byasanāyā”ti. ', 'In the same way that silly man the bamboo-staffed ascetic is a trap for humans, it seems to me. He has come into the world for the harm, suffering, calamity, and disaster of many beings.”']"
an3.140,dhamma,"[1, 3, 1, 3, 1, 3]","['an3.140:4.2', 'an3.140:4.2', 'an3.140:5.2', 'an3.140:5.2', 'an3.140:6.2', 'an3.140:6.2']","['Idha, bhikkhave, bhikkhu ‘idaṁ dukkhan’ti yathābhūtaṁ pajānāti …pe… ‘ayaṁ dukkhanirodhagāminī paṭipadā’ti yathābhūtaṁ pajānāti. ', 'It’s when a mendicant truly understands: ‘This is suffering’ … ‘This is the origin of suffering’ … ‘This is the cessation of suffering’ … ‘This is the practice that leads to the cessation of suffering’. ', 'Idha, bhikkhave, bhikkhu ‘idaṁ dukkhan’ti yathābhūtaṁ pajānāti …pe… ‘ayaṁ dukkhanirodhagāminī paṭipadā’ti yathābhūtaṁ pajānāti. ', 'It’s when a mendicant truly understands: ‘This is suffering’ … ‘This is the origin of suffering’ … ‘This is the cessation of suffering’ … ‘This is the practice that leads to the cessation of suffering’. ', 'Idha, bhikkhave, bhikkhu ‘idaṁ dukkhan’ti yathābhūtaṁ pajānāti …pe… ‘ayaṁ dukkhanirodhagāminī paṭipadā’ti yathābhūtaṁ pajānāti. ', 'It’s when a mendicant truly understands: ‘This is suffering’ … ‘This is the origin of suffering’ … ‘This is the cessation of suffering’ … ‘This is the practice that leads to the cessation of suffering’. ']"
an3.20,dhamma,"[1, 3]","['an3.20:4.5', 'an3.20:4.5']","['Idha, bhikkhave, bhikkhu ‘idaṁ dukkhan’ti yathābhūtaṁ pajānāti, ‘ayaṁ dukkhasamudayo’ti yathābhūtaṁ pajānāti, ‘ayaṁ dukkhanirodho’ti yathābhūtaṁ pajānāti, ‘ayaṁ dukkhanirodhagāminī paṭipadā’ti yathābhūtaṁ pajānāti. ', 'It’s when a mendicant truly understands: ‘This is suffering’ … ‘This is the origin of suffering’ … ‘This is the cessation of suffering’ … ‘This is the practice that leads to the cessation of suffering’. ']"
an3.23,dhamma,"[1, 3, 1, 3]","['an3.23:1.6', 'an3.23:1.6', 'an3.23:3.4', 'an3.23:3.4']","['So sabyābajjhehi phassehi phuṭṭho samāno sabyābajjhaṁ vedanaṁ vedayati ekantadukkhaṁ, seyyathāpi sattā nerayikā. ', 'Touched by hurtful contacts, they experience hurtful feelings that are exclusively painful—like the beings in hell. ', 'So sabyābajjhehipi abyābajjhehipi phassehi phuṭṭho samāno sabyābajjhampi abyābajjhampi vedanaṁ vedayati vokiṇṇasukhadukkhaṁ, seyyathāpi manussā ekacce ca devā ekacce ca vinipātikā. ', 'Touched by both hurtful and pleasing contacts, they experience both hurtful and pleasing feelings that are a mixture of pleasure and pain—like humans, some gods, and some beings in the underworld. ']"
an3.24,dhamma,"[1, 3]","['an3.24:2.1', 'an3.24:2.1']","['Puna caparaṁ, bhikkhave, yaṁ puggalaṁ āgamma puggalo ‘idaṁ dukkhan’ti yathābhūtaṁ pajānāti, ‘ayaṁ dukkhasamudayo’ti yathābhūtaṁ pajānāti, ‘ayaṁ dukkhanirodho’ti yathābhūtaṁ pajānāti, ‘ayaṁ dukkhanirodhagāminī paṭipadā’ti yathābhūtaṁ pajānāti; ', 'Furthermore, the person who has enabled you to truly understand: ‘This is suffering’ … ‘This is the origin of suffering’ … ‘This is the cessation of suffering’ … ‘This is the practice that leads to the cessation of suffering’. ']"
an3.25,dhamma,"[1, 3, 1, 3]","['an3.25:2.2', 'an3.25:2.2', 'an3.25:2.4', 'an3.25:2.4']","['Idha, bhikkhave, ekacco puggalo ‘idaṁ dukkhan’ti yathābhūtaṁ pajānāti, ‘ayaṁ dukkhasamudayo’ti yathābhūtaṁ pajānāti, ‘ayaṁ dukkhanirodho’ti yathābhūtaṁ pajānāti, ‘ayaṁ dukkhanirodhagāminī paṭipadā’ti yathābhūtaṁ pajānāti. ', 'It’s someone who truly understands: ‘This is suffering’ … ‘This is the origin of suffering’ … ‘This is the cessation of suffering’ … ‘This is the practice that leads to the cessation of suffering’. ', 'evamevaṁ kho, bhikkhave, idhekacco puggalo ‘idaṁ dukkhan’ti yathābhūtaṁ pajānāti …pe… ‘ayaṁ dukkhanirodhagāminī paṭipadā’ti yathābhūtaṁ pajānāti. ', 'In the same way, someone truly understands: ‘This is suffering’ … ‘This is the origin of suffering’ … ‘This is the cessation of suffering’ … ‘This is the practice that leads to the cessation of suffering’. ']"
an3.30,dhamma,"[1, 3]","['an3.30:10.4', 'an3.30:10.4']","['Dukkhassantakaro siyā”ti. ', 'would make an end of suffering.” ']"
an3.33,dhamma,"[1, 3]","['an3.33:3.3', 'an3.33:3.3']","['‘bhikkhu acchecchi taṇhaṁ, vivattayi saṁyojanaṁ, sammā mānābhisamayā antamakāsi dukkhassa’. ', 'a mendicant who has cut off craving, untied the fetters, and by rightly comprehending conceit has made an end of suffering. ']"
